Tm,Win_Pct,Pts_For,Pts_Against,PD,SOS,Year
AFC East,AFC East,AFC East,AFC East,AFC East,,2015
New England Patriots*,.750,465,315,150,,2015
New York Jets,.625,387,314,73,,2015
Buffalo Bills,.500,379,359,20,,2015
Miami Dolphins,.375,310,389,-79,,2015
AFC North,AFC North,AFC North,AFC North,AFC North,,2015
Cincinnati Bengals*,.750,419,279,140,,2015
Pittsburgh Steelers+,.625,423,319,104,,2015
Baltimore Ravens,.313,328,401,-73,,2015
Cleveland Browns,.188,278,432,-154,,2015
AFC South,AFC South,AFC South,AFC South,AFC South,,2015
Houston Texans*,.563,339,313,26,,2015
Indianapolis Colts,.500,333,408,-75,,2015
Jacksonville Jaguars,.313,376,448,-72,,2015
Tennessee Titans,.188,299,423,-124,,2015
AFC West,AFC West,AFC West,AFC West,AFC West,,2015
Denver Broncos*,.750,355,296,59,,2015
Kansas City Chiefs+,.688,405,287,118,,2015
Oakland Raiders,.438,359,399,-40,,2015
San Diego Chargers,.250,320,398,-78,,2015
NFC East,NFC East,NFC East,NFC East,NFC East,,2015
Washington Redskins*,.563,388,379,9,,2015
Philadelphia Eagles,.438,377,430,-53,,2015
New York Giants,.375,420,442,-22,,2015
Dallas Cowboys,.250,275,374,-99,,2015
NFC North,NFC North,NFC North,NFC North,NFC North,,2015
Minnesota Vikings*,.688,365,302,63,,2015
Green Bay Packers+,.625,368,323,45,,2015
Detroit Lions,.438,358,400,-42,,2015
Chicago Bears,.375,335,397,-62,,2015
NFC South,NFC South,NFC South,NFC South,NFC South,,2015
Carolina Panthers*,.938,500,308,192,,2015
Atlanta Falcons,.500,339,345,-6,,2015
New Orleans Saints,.438,408,476,-68,,2015
Tampa Bay Buccaneers,.375,342,417,-75,,2015
NFC West,NFC West,NFC West,NFC West,NFC West,,2015
Arizona Cardinals*,.813,489,313,176,,2015
Seattle Seahawks+,.625,423,277,146,,2015
St. Louis Rams,.438,280,330,-50,,2015
San Francisco 49ers,.313,238,387,-149,,2015
AFC East,AFC East,AFC East,AFC East,AFC East,,2016
New England Patriots*,.875,441,250,191,,2016
Miami Dolphins+,.625,363,380,-17,,2016
Buffalo Bills,.438,399,378,21,,2016
New York Jets,.313,275,409,-134,,2016
AFC North,AFC North,AFC North,AFC North,AFC North,,2016
Pittsburgh Steelers*,.688,399,327,72,,2016
Baltimore Ravens,.500,343,321,22,,2016
Cincinnati Bengals,.406,325,315,10,,2016
Cleveland Browns,.063,264,452,-188,,2016
AFC South,AFC South,AFC South,AFC South,AFC South,,2016
Houston Texans*,.563,279,328,-49,,2016
Tennessee Titans,.563,381,378,3,,2016
Indianapolis Colts,.500,411,392,19,,2016
Jacksonville Jaguars,.188,318,400,-82,,2016
AFC West,AFC West,AFC West,AFC West,AFC West,,2016
Kansas City Chiefs*,.750,389,311,78,,2016
Oakland Raiders+,.750,416,385,31,,2016
Denver Broncos,.563,333,297,36,,2016
San Diego Chargers,.313,410,423,-13,,2016
NFC East,NFC East,NFC East,NFC East,NFC East,,2016
Dallas Cowboys*,.813,421,306,115,,2016
New York Giants+,.688,310,284,26,,2016
Washington Redskins,.531,396,383,13,,2016
Philadelphia Eagles,.438,367,331,36,,2016
NFC North,NFC North,NFC North,NFC North,NFC North,,2016
Green Bay Packers*,.625,432,388,44,,2016
Detroit Lions+,.563,346,358,-12,,2016
Minnesota Vikings,.500,327,307,20,,2016
Chicago Bears,.188,279,399,-120,,2016
NFC South,NFC South,NFC South,NFC South,NFC South,,2016
Atlanta Falcons*,.688,540,406,134,,2016
Tampa Bay Buccaneers,.563,354,369,-15,,2016
New Orleans Saints,.438,469,454,15,,2016
Carolina Panthers,.375,369,402,-33,,2016
NFC West,NFC West,NFC West,NFC West,NFC West,,2016
Seattle Seahawks*,.656,354,292,62,,2016
Arizona Cardinals,.469,418,362,56,,2016
Los Angeles Rams,.250,224,394,-170,,2016
San Francisco 49ers,.125,309,480,-171,,2016
AFC East,AFC East,AFC East,AFC East,AFC East,,2017
New England Patriots*,.813,458,296,162,,2017
Buffalo Bills+,.563,302,359,-57,,2017
Miami Dolphins,.375,281,393,-112,,2017
New York Jets,.313,298,382,-84,,2017
AFC North,AFC North,AFC North,AFC North,AFC North,,2017
Pittsburgh Steelers*,.813,406,308,98,,2017
Baltimore Ravens,.563,395,303,92,,2017
Cincinnati Bengals,.438,290,349,-59,,2017
Cleveland Browns,.000,234,410,-176,,2017
AFC South,AFC South,AFC South,AFC South,AFC South,,2017
Jacksonville Jaguars*,.625,417,268,149,,2017
Tennessee Titans+,.563,334,356,-22,,2017
Indianapolis Colts,.250,263,404,-141,,2017
Houston Texans,.250,338,436,-98,,2017
AFC West,AFC West,AFC West,AFC West,AFC West,,2017
Kansas City Chiefs*,.625,415,339,76,,2017
Los Angeles Chargers,.563,355,272,83,,2017
Oakland Raiders,.375,301,373,-72,,2017
Denver Broncos,.313,289,382,-93,,2017
NFC East,NFC East,NFC East,NFC East,NFC East,,2017
Philadelphia Eagles*,.813,457,295,162,,2017
Dallas Cowboys,.563,354,332,22,,2017
Washington Redskins,.438,342,388,-46,,2017
New York Giants,.188,246,388,-142,,2017
NFC North,NFC North,NFC North,NFC North,NFC North,,2017
Minnesota Vikings*,.813,382,252,130,,2017
Detroit Lions,.563,410,376,34,,2017
Green Bay Packers,.438,320,384,-64,,2017
Chicago Bears,.313,264,320,-56,,2017
NFC South,NFC South,NFC South,NFC South,NFC South,,2017
New Orleans Saints*,.688,448,326,122,,2017
Carolina Panthers+,.688,363,327,36,,2017
Atlanta Falcons+,.625,353,315,38,,2017
Tampa Bay Buccaneers,.313,335,382,-47,,2017
NFC West,NFC West,NFC West,NFC West,NFC West,,2017
Los Angeles Rams*,.688,478,329,149,,2017
Seattle Seahawks,.563,366,332,34,,2017
Arizona Cardinals,.500,295,361,-66,,2017
San Francisco 49ers,.375,331,383,-52,,2017
AFC East,AFC East,AFC East,AFC East,AFC East,,2018
New England Patriots*,.688,436,325,111,,2018
Miami Dolphins,.438,319,433,-114,,2018
Buffalo Bills,.375,269,374,-105,,2018
New York Jets,.250,333,441,-108,,2018
AFC North,AFC North,AFC North,AFC North,AFC North,,2018
Baltimore Ravens*,.625,389,287,102,,2018
Pittsburgh Steelers,.594,428,360,68,,2018
Cleveland Browns,.469,359,392,-33,,2018
Cincinnati Bengals,.375,368,455,-87,,2018
AFC South,AFC South,AFC South,AFC South,AFC South,,2018
Houston Texans*,.688,402,316,86,,2018
Indianapolis Colts+,.625,433,344,89,,2018
Tennessee Titans,.563,310,303,7,,2018
Jacksonville Jaguars,.313,245,316,-71,,2018
AFC West,AFC West,AFC West,AFC West,AFC West,,2018
Kansas City Chiefs*,.750,565,421,144,,2018
Los Angeles Chargers+,.750,428,329,99,,2018
Denver Broncos,.375,329,349,-20,,2018
Oakland Raiders,.250,290,467,-177,,2018
NFC East,NFC East,NFC East,NFC East,NFC East,,2018
Dallas Cowboys*,.625,339,324,15,,2018
Philadelphia Eagles+,.563,367,348,19,,2018
Washington Redskins,.438,281,359,-78,,2018
New York Giants,.313,369,412,-43,,2018
NFC North,NFC North,NFC North,NFC North,NFC North,,2018
Chicago Bears*,.750,421,283,138,,2018
Minnesota Vikings,.531,360,341,19,,2018
Green Bay Packers,.406,376,400,-24,,2018
Detroit Lions,.375,324,360,-36,,2018
NFC South,NFC South,NFC South,NFC South,NFC South,,2018
New Orleans Saints*,.813,504,353,151,,2018
Atlanta Falcons,.438,414,423,-9,,2018
Carolina Panthers,.438,376,382,-6,,2018
Tampa Bay Buccaneers,.313,396,464,-68,,2018
NFC West,NFC West,NFC West,NFC West,NFC West,,2018
Los Angeles Rams*,.813,527,384,143,,2018
Seattle Seahawks+,.625,428,347,81,,2018
San Francisco 49ers,.250,342,435,-93,,2018
Arizona Cardinals,.188,225,425,-200,,2018
AFC East,AFC East,AFC East,AFC East,AFC East,,2019
New England Patriots*,.750,420,225,195,,2019
Buffalo Bills+,.625,314,259,55,,2019
New York Jets,.438,276,359,-83,,2019
Miami Dolphins,.313,306,494,-188,,2019
AFC North,AFC North,AFC North,AFC North,AFC North,,2019
Baltimore Ravens*,.875,531,282,249,,2019
Pittsburgh Steelers,.500,289,303,-14,,2019
Cleveland Browns,.375,335,393,-58,,2019
Cincinnati Bengals,.125,279,420,-141,,2019
AFC South,AFC South,AFC South,AFC South,AFC South,,2019
Houston Texans*,.625,378,385,-7,,2019
Tennessee Titans+,.563,402,331,71,,2019
Indianapolis Colts,.438,361,373,-12,,2019
Jacksonville Jaguars,.375,300,397,-97,,2019
AFC West,AFC West,AFC West,AFC West,AFC West,,2019
Kansas City Chiefs*,.750,451,308,143,,2019
Denver Broncos,.438,282,316,-34,,2019
Oakland Raiders,.438,313,419,-106,,2019
Los Angeles Chargers,.313,337,345,-8,,2019
NFC East,NFC East,NFC East,NFC East,NFC East,,2019
Philadelphia Eagles*,.563,385,354,31,,2019
Dallas Cowboys,.500,434,321,113,,2019
New York Giants,.250,341,451,-110,,2019
Washington Redskins,.188,266,435,-169,,2019
NFC North,NFC North,NFC North,NFC North,NFC North,,2019
Green Bay Packers*,.813,376,313,63,,2019
Minnesota Vikings+,.625,407,303,104,,2019
Chicago Bears,.500,280,298,-18,,2019
Detroit Lions,.219,341,423,-82,,2019
NFC South,NFC South,NFC South,NFC South,NFC South,,2019
New Orleans Saints*,.813,458,341,117,,2019
Atlanta Falcons,.438,381,399,-18,,2019
Tampa Bay Buccaneers,.438,458,449,9,,2019
Carolina Panthers,.313,340,470,-130,,2019
NFC West,NFC West,NFC West,NFC West,NFC West,,2019
San Francisco 49ers*,.813,479,310,169,,2019
Seattle Seahawks+,.688,405,398,7,,2019
Los Angeles Rams,.563,394,364,30,,2019
Arizona Cardinals,.344,361,442,-81,,2019
AFC East,AFC East,AFC East,AFC East,AFC East,,2020
Buffalo Bills*,.813,501,375,126,,2020
Miami Dolphins,.625,404,338,66,,2020
New England Patriots,.438,326,353,-27,,2020
New York Jets,.125,243,457,-214,,2020
AFC North,AFC North,AFC North,AFC North,AFC North,,2020
Pittsburgh Steelers*,.750,416,312,104,,2020
Baltimore Ravens+,.688,468,303,165,,2020
Cleveland Browns+,.688,408,419,-11,,2020
Cincinnati Bengals,.281,311,424,-113,,2020
AFC South,AFC South,AFC South,AFC South,AFC South,,2020
Tennessee Titans*,.688,491,439,52,,2020
Indianapolis Colts+,.688,451,362,89,,2020
Houston Texans,.250,384,464,-80,,2020
Jacksonville Jaguars,.063,306,492,-186,,2020
AFC West,AFC West,AFC West,AFC West,AFC West,,2020
Kansas City Chiefs*,.875,473,362,111,,2020
Las Vegas Raiders,.500,434,478,-44,,2020
Los Angeles Chargers,.438,384,426,-42,,2020
Denver Broncos,.313,323,446,-123,,2020
NFC East,NFC East,NFC East,NFC East,NFC East,,2020
Washington Football Team*,.438,335,329,6,,2020
New York Giants,.375,280,357,-77,,2020
Dallas Cowboys,.375,395,473,-78,,2020
Philadelphia Eagles,.281,334,418,-84,,2020
NFC North,NFC North,NFC North,NFC North,NFC North,,2020
Green Bay Packers*,.813,509,369,140,,2020
Chicago Bears+,.500,372,370,2,,2020
Minnesota Vikings,.438,430,475,-45,,2020
Detroit Lions,.313,377,519,-142,,2020
NFC South,NFC South,NFC South,NFC South,NFC South,,2020
New Orleans Saints*,.750,482,337,145,,2020
Tampa Bay Buccaneers+,.688,492,355,137,,2020
Carolina Panthers,.313,350,402,-52,,2020
Atlanta Falcons,.250,396,414,-18,,2020
NFC West,NFC West,NFC West,NFC West,NFC West,,2020
Seattle Seahawks*,.750,459,371,88,,2020
Los Angeles Rams+,.625,372,296,76,,2020
Arizona Cardinals,.500,410,367,43,,2020
San Francisco 49ers,.375,376,390,-14,,2020
AFC East,AFC East,AFC East,AFC East,AFC East,,2021
Buffalo Bills*,.647,483,289,194,,2021
New England Patriots+,.588,462,303,159,,2021
Miami Dolphins,.529,341,373,-32,,2021
New York Jets,.235,310,504,-194,,2021
AFC North,AFC North,AFC North,AFC North,AFC North,,2021
Cincinnati Bengals*,.588,460,376,84,,2021
Pittsburgh Steelers+,.559,343,398,-55,,2021
Cleveland Browns,.471,349,371,-22,,2021
Baltimore Ravens,.471,387,392,-5,,2021
AFC South,AFC South,AFC South,AFC South,AFC South,,2021
Tennessee Titans*,.706,419,354,65,,2021
Indianapolis Colts,.529,451,365,86,,2021
Houston Texans,.235,280,452,-172,,2021
Jacksonville Jaguars,.176,253,457,-204,,2021
AFC West,AFC West,AFC West,AFC West,AFC West,,2021
Kansas City Chiefs*,.706,480,364,116,,2021
Las Vegas Raiders+,.588,374,439,-65,,2021
Los Angeles Chargers,.529,474,459,15,,2021
Denver Broncos,.412,335,322,13,,2021
NFC East,NFC East,NFC East,NFC East,NFC East,,2021
Dallas Cowboys*,.706,530,358,172,,2021
Philadelphia Eagles+,.529,444,385,59,,2021
Washington Football Team,.412,335,434,-99,,2021
New York Giants,.235,258,416,-158,,2021
NFC North,NFC North,NFC North,NFC North,NFC North,,2021
Green Bay Packers*,.765,450,371,79,,2021
Minnesota Vikings,.471,425,426,-1,,2021
Chicago Bears,.353,311,407,-96,,2021
Detroit Lions,.206,325,467,-142,,2021
NFC South,NFC South,NFC South,NFC South,NFC South,,2021
Tampa Bay Buccaneers*,.765,511,353,158,,2021
New Orleans Saints,.529,364,335,29,,2021
Atlanta Falcons,.412,313,459,-146,,2021
Carolina Panthers,.294,304,404,-100,,2021
NFC West,NFC West,NFC West,NFC West,NFC West,,2021
Los Angeles Rams*,.706,460,372,88,,2021
Arizona Cardinals+,.647,449,366,83,,2021
San Francisco 49ers+,.588,427,365,62,,2021
Seattle Seahawks,.412,395,366,29,,2021
AFC East,AFC East,AFC East,AFC East,AFC East,,2022
Buffalo Bills*,.813,455,286,169,,2022
Miami Dolphins+,.529,397,399,-2,,2022
New England Patriots,.471,364,347,17,,2022
New York Jets,.412,296,316,-20,,2022
AFC North,AFC North,AFC North,AFC North,AFC North,,2022
Cincinnati Bengals*,.750,418,322,96,,2022
Baltimore Ravens+,.588,350,315,35,,2022
Pittsburgh Steelers,.529,308,346,-38,,2022
Cleveland Browns,.412,361,381,-20,,2022
AFC South,AFC South,AFC South,AFC South,AFC South,,2022
Jacksonville Jaguars*,.529,404,350,54,,2022
Tennessee Titans,.412,298,359,-61,,2022
Indianapolis Colts,.265,289,427,-138,,2022
Houston Texans,.206,289,420,-131,,2022
AFC West,AFC West,AFC West,AFC West,AFC West,,2022
Kansas City Chiefs*,.824,496,369,127,,2022
Los Angeles Chargers+,.588,391,384,7,,2022
Las Vegas Raiders,.353,395,418,-23,,2022
Denver Broncos,.294,287,359,-72,,2022
NFC East,NFC East,NFC East,NFC East,NFC East,,2022
Philadelphia Eagles*,.824,477,344,133,,2022
Dallas Cowboys+,.706,467,342,125,,2022
New York Giants+,.559,365,371,-6,,2022
Washington Commanders,.500,321,343,-22,,2022
NFC North,NFC North,NFC North,NFC North,NFC North,,2022
Minnesota Vikings*,.765,424,427,-3,,2022
Detroit Lions,.529,453,427,26,,2022
Green Bay Packers,.471,370,371,-1,,2022
Chicago Bears,.176,326,463,-137,,2022
NFC South,NFC South,NFC South,NFC South,NFC South,,2022
Tampa Bay Buccaneers*,.471,313,358,-45,,2022
Carolina Panthers,.412,347,374,-27,,2022
New Orleans Saints,.412,330,345,-15,,2022
Atlanta Falcons,.412,365,386,-21,,2022
NFC West,NFC West,NFC West,NFC West,NFC West,,2022
San Francisco 49ers*,.765,450,277,173,,2022
Seattle Seahawks+,.529,407,401,6,,2022
Los Angeles Rams,.294,307,384,-77,,2022
Arizona Cardinals,.235,340,449,-109,,2022
AFC East,AFC East,AFC East,AFC East,AFC East,,2023
Buffalo Bills*,.647,451,311,140,,2023
Miami Dolphins+,.647,496,391,105,,2023
New York Jets,.412,268,355,-87,,2023
New England Patriots,.235,236,366,-130,,2023
AFC North,AFC North,AFC North,AFC North,AFC North,,2023
Baltimore Ravens*,.765,483,280,203,,2023
Cleveland Browns+,.647,396,362,34,,2023
Pittsburgh Steelers+,.588,304,324,-20,,2023
Cincinnati Bengals,.529,366,384,-18,,2023
AFC South,AFC South,AFC South,AFC South,AFC South,,2023
Houston Texans*,.588,377,353,24,,2023
Jacksonville Jaguars,.529,377,371,6,,2023
Indianapolis Colts,.529,396,415,-19,,2023
Tennessee Titans,.353,305,367,-62,,2023
AFC West,AFC West,AFC West,AFC West,AFC West,,2023
Kansas City Chiefs*,.647,371,294,77,,2023
Las Vegas Raiders,.471,332,331,1,,2023
Denver Broncos,.471,357,413,-56,,2023
Los Angeles Chargers,.294,346,398,-52,,2023
NFC East,NFC East,NFC East,NFC East,NFC East,,2023
Dallas Cowboys*,.706,509,315,194,,2023
Philadelphia Eagles+,.647,433,428,5,,2023
New York Giants,.353,266,407,-141,,2023
Washington Commanders,.235,329,518,-189,,2023
NFC North,NFC North,NFC North,NFC North,NFC North,,2023
Detroit Lions*,.706,461,395,66,,2023
Green Bay Packers+,.529,383,350,33,,2023
Minnesota Vikings,.412,344,362,-18,,2023
Chicago Bears,.412,360,379,-19,,2023
NFC South,NFC South,NFC South,NFC South,NFC South,,2023
Tampa Bay Buccaneers*,.529,348,325,23,,2023
New Orleans Saints,.529,402,327,75,,2023
Atlanta Falcons,.412,321,373,-52,,2023
Carolina Panthers,.118,236,416,-180,,2023
NFC West,NFC West,NFC West,NFC West,NFC West,,2023
San Francisco 49ers*,.706,491,298,193,,2023
Los Angeles Rams+,.588,404,377,27,,2023
Seattle Seahawks,.529,364,402,-38,,2023
Arizona Cardinals,.235,330,455,-125,,2023
AFC East,AFC East,AFC East,AFC East,AFC East,,2024
Buffalo Bills*,.765,525,368,157,,2024
Miami Dolphins,.471,345,364,-19,,2024
New York Jets,.294,338,404,-66,,2024
New England Patriots,.235,289,417,-128,,2024
AFC North,AFC North,AFC North,AFC North,AFC North,,2024
Baltimore Ravens*,.706,518,361,157,,2024
Pittsburgh Steelers+,.588,380,347,33,,2024
Cincinnati Bengals,.529,472,434,38,,2024
Cleveland Browns,.176,258,435,-177,,2024
AFC South,AFC South,AFC South,AFC South,AFC South,,2024
Houston Texans*,.588,372,372,0,,2024
Indianapolis Colts,.471,377,427,-50,,2024
Jacksonville Jaguars,.235,320,435,-115,,2024
Tennessee Titans,.176,311,460,-149,,2024
AFC West,AFC West,AFC West,AFC West,AFC West,,2024
Kansas City Chiefs*,.882,385,326,59,,2024
Los Angeles Chargers+,.647,402,301,101,,2024
Denver Broncos+,.588,425,311,114,,2024
Las Vegas Raiders,.235,309,434,-125,,2024
NFC East,NFC East,NFC East,NFC East,NFC East,,2024
Philadelphia Eagles*,.824,463,303,160,,2024
Washington Commanders+,.706,485,391,94,,2024
Dallas Cowboys,.412,350,468,-118,,2024
New York Giants,.176,273,415,-142,,2024
NFC North,NFC North,NFC North,NFC North,NFC North,,2024
Detroit Lions*,.882,564,342,222,,2024
Minnesota Vikings+,.824,432,332,100,,2024
Green Bay Packers+,.647,460,338,122,,2024
Chicago Bears,.294,310,370,-60,,2024
NFC South,NFC South,NFC South,NFC South,NFC South,,2024
Tampa Bay Buccaneers*,.588,502,385,117,,2024
Atlanta Falcons,.471,389,423,-34,,2024
Carolina Panthers,.294,341,534,-193,,2024
New Orleans Saints,.294,338,398,-60,,2024
NFC West,NFC West,NFC West,NFC West,NFC West,,2024
Los Angeles Rams*,.588,367,386,-19,,2024
Seattle Seahawks,.588,375,368,7,,2024
Arizona Cardinals,.471,400,379,21,,2024
San Francisco 49ers,.353,389,436,-47,,2024
